rep,id,beta_exp,p,rho,phi_power,delta_0,t00,TT,I_rho,Classification,Group
1,569,8.2048625982256,2.5514411694059,0.178305952725622,6.42371137922826,1.864426183397,18.4868654227693,1.92638317833393,0.494823384747522,Viral Rebound,1
2,569,8.27005243704232,2.71384061829008,0.262113633465401,6.67319340458791,1.64019531435824,20.4594170370522,4.28485080047949,0.849154970252464,Viral Rebound,1
3,569,8.09417131950777,2.58524016447282,0.270236830503234,6.38235325614663,2.5047407413833,15.029023630143,2.2297132179447,0.365909793094074,Viral Rebound,1
4,569,8.20271712641933,2.50460701342109,0.165854005248276,6.64224439671483,1.9226042560205,16.0798341426929,2.29390865160728,1.21662822606246,Viral Rebound,1
5,569,7.89760378753238,2.65441625549525,0.268054386619879,6.58698929796985,1.59923949386361,17.9328359009981,2.49182401969069,0.208437992564296,Viral Rebound,1
6,569,8.1558101309154,2.65496822498299,0.105831092791739,6.5462681153352,1.50713541291046,13.1241478577748,2.28153423908405,2.78446850025932,Viral Rebound,1
7,569,8.11884543237037,2.6962766295655,0.206835685077349,6.4811261035616,1.90624266002623,16.6047770560252,2.00804925280239,1.29536364044018,Viral Rebound,1
8,569,7.95330021847161,2.50901495459002,0.289177479299149,6.44898261831672,2.10075056083431,14.5733996706496,1.40387026521267,1.70191507697002,Viral Rebound,1
9,569,7.94103561405371,2.65533386756287,0.118780865423063,6.59413277634128,1.63020776115508,13.3247397541257,1.88654636994462,2.48965472716505,Viral Rebound,1
10,569,8.27537381287654,2.61801788112964,0.206847588404189,6.41740554380047,1.89469335796579,14.1603131153292,3.13835691445333,1.67453399446456,Viral Rebound,1
1,659,8.11360966887335,2.69173777125516,0.250391564993943,6.4549575924431,2.97140256905507,10.13851133887,3.26281824442176,1.33016719603553,Viral Rebound,1
2,659,7.87101048399052,2.6316694602377,0.245670740733119,6.48141125977655,2.26378878701053,11.9872682214188,3.18651026902407,0.351947851578758,Viral Rebound,1
3,659,7.83547229950072,2.75422929293805,0.178930101372076,6.4736519396056,2.51543493603214,11.3552520198184,2.81627097243628,0.954901390478406,Viral Rebound,1
4,659,7.89195608456987,2.53152471320298,0.0352790612844527,6.35662018702036,2.47420256309799,11.690792670509,2.68592364480775,0.867002422071913,Viral Rebound,1
5,659,7.7957081531418,2.75390974914612,0.198037592999348,6.44966437335747,2.74537866995683,11.901854344152,1.96534963300154,0.350537875281506,Viral Rebound,1
6,659,7.98304910162363,2.68467753639582,0.0625299597525556,6.57176228689483,2.10970759883191,12.2584825491005,2.5424559733739,0.147582853627966,Viral Rebound,1
7,659,7.95381663040222,2.69038540296952,0.0426731438168406,6.48445961878728,2.7197507279881,14.1227793987932,2.5424559733739,0.507961913421938,Viral Rebound,1
8,659,8.11765507091249,2.72567445431764,0.393061358383165,6.57945710357526,2.21763847691214,11.4052451155645,3.77572975665917,0.719231173818719,Viral Rebound,1
